		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.156250	M = 600	N = 8	m = 9	n = 4800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000010001    1    0    0    2    0    1    1    2  4.861414 0.772281 SUCCESS   8
000010011    5    0    0    4    0    0    0    0 27.258397 0.000638 FAILURE   9
000010101    3    2    1    1    0    1    1    1  4.916579 0.766454 SUCCESS  10
000010111    2    0    0    1    0    0    1    2  6.019879 0.645005 SUCCESS  11
000011001    3    0    0    0    3    0    0    1 11.922532 0.154694 SUCCESS  12
000011011    1    1    3    1    1    0    1    0  5.468229 0.706557 SUCCESS  13
000011101    1    0    1    1    0    1    0    1  3.647785 0.887422 SUCCESS  14
000011111    1    1    1    1    0    0    3    0  6.626694 0.577392 SUCCESS  15
000100011    1    0    0    1    1    2    0    3  7.233508 0.511661 SUCCESS  16
000100101    0    1    1    0    2    0    2    5 17.880350 0.022142 SUCCESS  17
000100111    2    0    0    1    1    0    1    0  5.413064 0.712652 SUCCESS  18
000101001    1    0    0    1    2    1    0    0  5.413064 0.712652 SUCCESS  19
000101011    3    1    1    1    2    3    0    1  7.895488 0.443745 SUCCESS  20
000101101    1    2    1    3    2    1    1    0  5.523394 0.700447 SUCCESS  21
000101111    3    1    1    2    2    0    1    2  6.130209 0.632649 SUCCESS  22
000110011    2    0    0    0    0    1    0    2  7.178343 0.517519 SUCCESS  23
000110101    0    1    2    1    1    1    0    0  4.254599 0.833453 SUCCESS  24
000110111    1    1    3    0    1    2    1    1  4.916579 0.766454 SUCCESS  25
000111001    1    2    1    1    1    1    4    0  9.053953 0.337765 SUCCESS  26
000111011    1    0    0    2    0    1    1    0  5.413064 0.712652 SUCCESS  27
000111101    1    1    0    0    2    2    0    1  4.861414 0.772281 SUCCESS  28
000111111    1    1    0    1    0    1    3    1  5.468229 0.706557 SUCCESS  29
001000011    0    0    2    0    1    3    2    0  8.998788 0.342398 SUCCESS  30
001000101    0    1    1    2    0    1    0    1  4.254599 0.833453 SUCCESS  31
001000111    2    1    1    2    1    0    2    1  3.151300 0.924507 SUCCESS  32
001001011    1    2    2    1    2    0    4    5 23.286519 0.003015 FAILURE  33
001001101    0    1    0    5    1    1    2    0 17.273535 0.027384 SUCCESS  34
001001111    3    1    1    2    4    0    0    0 14.349791 0.073092 SUCCESS  35
001010011    0    1    1    2    2    2    1    1  3.151300 0.924507 SUCCESS  36
001010101    0    2    0    2    1    1    1    2  4.309764 0.828150 SUCCESS  37
001010111    2    2    1    0    0    1    1    1  3.702949 0.882881 SUCCESS  38
001011011    1    1    1    3    1    2    0    1  4.916579 0.766454 SUCCESS  39
001011101    3    2    1    0    0    0    2    2  8.447138 0.391054 SUCCESS  40
001011111    1    3    3    1    1    2    1    0  7.895488 0.443745 SUCCESS  41
001100101    1    2    0    2    0    1    0    1  4.861414 0.772281 SUCCESS  42
001100111    0    0    1    1    0    1    1    3  6.626694 0.577392 SUCCESS  43
001101011    0    0    1    0    2    0    0    1  6.571529 0.583485 SUCCESS  44
001101101    0    2    1    2    0    1    1    1  3.702949 0.882881 SUCCESS  45
001101111    1    1    2    2    2    2    0    0  4.916579 0.766454 SUCCESS  46
001110101    0    1    3    1    1    0    3    2  9.053953 0.337765 SUCCESS  47
001110111    0    0    0    3    0    1    1    0  8.943623 0.347074 SUCCESS  48
001111011    1    1    2    0    3    1    0    0  7.233508 0.511661 SUCCESS  49
